År;Ålder;Män;Kvinnor
2014;0­4;0;0
2014;5­9;0;0
2014;10­14;1;0
2014;15­19;0;0
2014;20­24;0;0
2014;25­29;0;0
2014;30­34;0;0
2014;35­39;0;1
2014;40­44;0;1
2014;45­49;2;5
2014;50­54;1;2
2014;55­59;2;2
2014;60­64;16;15
2014;65­69;13;21
2014;70­74;40;31
2014;75­79;51;38
2014;80­84;37;31
2014;85+;68;68
2013;0­4;0;0
2013;5­9;0;0
2013;10­14;2;0
2013;15­19;0;0
2013;20­24;0;0
2013;25­29;0;0
2013;30­34;0;1
2013;35­39;3;0
2013;40­44;1;1
2013;45­49;4;4
2013;50­54;4;5
2013;55­59;9;6
2013;60­64;18;13
2013;65­69;37;29
2013;70­74;33;17
2013;75­79;33;33
2013;80­84;51;32
2013;85+;52;76
2012;0­4;0;0
2012;5­9;0;0
2012;10­14;0;0
2012;15­19;0;0
2012;20­24;0;0
2012;25­29;0;0
2012;30­34;1;0
2012;35­39;0;1
2012;40­44;0;0
2012;45­49;0;3
2012;50­54;3;4
2012;55­59;8;9
2012;60­64;17;20
2012;65­69;29;25
2012;70­74;18;26
2012;75­79;34;27
2012;80­84;45;22
2012;85+;60;56
2011;0­4;0;0
2011;5­9;0;0
2011;10­14;0;0
2011;15­19;0;0
2011;20­24;0;0
2011;25­29;0;0
2011;30­34;0;1
2011;35­39;0;4
2011;40­44;0;2
2011;45­49;2;1
2011;50­54;3;4
2011;55­59;10;6
2011;60­64;17;11
2011;65­69;24;32
2011;70­74;29;26
2011;75­79;40;36
2011;80­84;46;23
2011;85+;79;67
2010;0­4;0;0
2010;5­9;0;0
2010;10­14;0;0
2010;15­19;1;0
2010;20­24;0;0
2010;25­29;0;0
2010;30­34;0;1
2010;35­39;0;1
2010;40­44;0;0
2010;45­49;7;4
2010;50­54;3;9
2010;55­59;12;5
2010;60­64;19;9
2010;65­69;16;18
2010;70­74;23;17
2010;75­79;26;22
2010;80­84;48;39
2010;85+;51;58
2009;0­4;0;0
2009;5­9;0;0
2009;10­14;0;0
2009;15­19;0;0
2009;20­24;0;0
2009;25­29;0;1
2009;30­34;0;0
2009;35­39;0;0
2009;40­44;1;0
2009;45­49;1;1
2009;50­54;5;5
2009;55­59;4;10
2009;60­64;10;9
2009;65­69;15;24
2009;70­74;18;16
2009;75­79;29;25
2009;80­84;34;35
2009;85+;57;59
2008;0­4;0;0
2008;5­9;1;0
2008;10­14;0;0
2008;15­19;0;0
2008;20­24;0;0
2008;25­29;0;0
2008;30­34;1;1
2008;35­39;0;0
2008;40­44;1;3
2008;45­49;3;1
2008;50­54;2;9
2008;55­59;8;3
2008;60­64;15;6
2008;65­69;16;13
2008;70­74;24;10
2008;75­79;36;20
2008;80­84;30;32
2008;85+;42;42
2007;0­4;0;0
2007;5­9;0;0
2007;10­14;0;0
2007;15­19;0;0
2007;20­24;0;0
2007;25­29;0;0
2007;30­34;0;1
2007;35­39;0;0
2007;40­44;1;0
2007;45­49;1;3
2007;50­54;1;4
2007;55­59;7;7
2007;60­64;19;6
2007;65­69;7;9
2007;70­74;17;12
2007;75­79;18;21
2007;80­84;25;23
2007;85+;41;39
2006;0­4;0;0
2006;5­9;0;0
2006;10­14;0;0
2006;15­19;0;0
2006;20­24;1;0
2006;25­29;0;0
2006;30­34;0;0
2006;35­39;0;0
2006;40­44;0;1
2006;45­49;3;3
2006;50­54;3;3
2006;55­59;5;11
2006;60­64;8;5
2006;65­69;12;19
2006;70­74;17;9
2006;75­79;20;25
2006;80­84;39;23
2006;85+;35;56
2005;0­4;0;0
2005;5­9;0;0
2005;10­14;0;0
2005;15­19;0;0
2005;20­24;0;0
2005;25­29;0;0
2005;30­34;0;1
2005;35­39;1;0
2005;40­44;1;1
2005;45­49;1;1
2005;50­54;3;4
2005;55­59;4;4
2005;60­64;4;4
2005;65­69;14;16
2005;70­74;19;19
2005;75­79;18;19
2005;80­84;45;29
2005;85+;22;30
2004;0­4;0;0
2004;5­9;0;0
2004;10­14;0;0
2004;15­19;0;0
2004;20­24;0;0
2004;25­29;0;0
2004;30­34;0;0
2004;35­39;0;0
2004;40­44;1;0
2004;45­49;3;2
2004;50­54;4;1
2004;55­59;4;10
2004;60­64;8;9
2004;65­69;9;10
2004;70­74;16;11
2004;75­79;22;16
2004;80­84;30;16
2004;85+;24;42
2003;0­4;0;0
2003;5­9;0;0
2003;10­14;0;0
2003;15­19;0;0
2003;20­24;0;0
2003;25­29;0;1
2003;30­34;0;0
2003;35­39;0;0
2003;40­44;0;0
2003;45­49;2;4
2003;50­54;6;2
2003;55­59;6;2
2003;60­64;4;5
2003;65­69;6;10
2003;70­74;8;10
2003;75­79;23;13
2003;80­84;19;20
2003;85+;16;24
2002;0­4;0;0
2002;5­9;0;0
2002;10­14;0;0
2002;15­19;0;0
2002;20­24;0;0
2002;25­29;0;0
2002;30­34;0;0
2002;35­39;1;0
2002;40­44;0;0
2002;45­49;1;0
2002;50­54;4;0
2002;55­59;2;2
2002;60­64;5;6
2002;65­69;11;4
2002;70­74;20;12
2002;75­79;21;10
2002;80­84;18;9
2002;85+;9;17
2001;0­4;0;0
2001;5­9;0;0
2001;10­14;0;0
2001;15­19;0;0
2001;20­24;0;0
2001;25­29;0;1
2001;30­34;0;0
2001;35­39;0;0
2001;40­44;0;0
2001;45­49;0;0
2001;50­54;2;0
2001;55­59;4;3
2001;60­64;4;1
2001;65­69;7;4
2001;70­74;6;7
2001;75­79;16;5
2001;80­84;13;7
2001;85+;11;18
2000;0­4;0;0
2000;5­9;0;0
2000;10­14;0;0
2000;15­19;0;0
2000;20­24;0;0
2000;25­29;0;0
2000;30­34;0;0
2000;35­39;0;0
2000;40­44;0;0
2000;45­49;0;0
2000;50­54;1;0
2000;55­59;3;2
2000;60­64;4;2
2000;65­69;3;3
2000;70­74;9;6
2000;75­79;20;8
2000;80­84;11;12
2000;85+;13;17
1999;0­4;0;0
1999;5­9;0;0
1999;10­14;0;0
1999;15­19;0;0
1999;20­24;0;0
1999;25­29;0;0
1999;30­34;0;1
1999;35­39;0;0
1999;40­44;0;0
1999;45­49;1;0
1999;50­54;1;0
1999;55­59;1;0
1999;60­64;1;6
1999;65­69;1;0
1999;70­74;8;3
1999;75­79;5;4
1999;80­84;10;6
1999;85+;10;14
1998;0­4;0;0
1998;5­9;0;0
1998;10­14;0;0
1998;15­19;0;0
1998;20­24;0;1
1998;25­29;0;0
1998;30­34;0;0
1998;35­39;1;0
1998;40­44;1;0
1998;45­49;1;0
1998;50­54;0;0
1998;55­59;0;2
1998;60­64;2;1
1998;65­69;4;2
1998;70­74;8;6
1998;75­79;13;6
1998;80­84;6;13
1998;85+;3;8
1997;0­4;0;0
1997;5­9;0;0
1997;10­14;0;0
1997;15­19;0;0
1997;20­24;0;0
1997;25­29;0;0
1997;30­34;0;0
1997;35­39;0;1
1997;40­44;0;1
1997;45­49;0;0
1997;50­54;1;0
1997;55­59;0;3
1997;60­64;2;1
1997;65­69;5;1
1997;70­74;6;5
1997;75­79;12;6
1997;80­84;18;8
1997;85+;10;9
1996;0­4;0;0
1996;5­9;0;0
1996;10­14;0;0
1996;15­19;0;0
1996;20­24;0;0
1996;25­29;0;0
1996;30­34;0;0
1996;35­39;0;0
1996;40­44;0;1
1996;45­49;0;0
1996;50­54;0;0
1996;55­59;0;3
1996;60­64;4;0
1996;65­69;6;2
1996;70­74;9;3
1996;75­79;11;7
1996;80­84;16;6
1996;85+;8;9
1995;0­4;0;0
1995;5­9;0;0
1995;10­14;0;0
1995;15­19;0;0
1995;20­24;0;0
1995;25­29;0;0
1995;30­34;0;1
1995;35­39;0;0
1995;40­44;1;1
1995;45­49;0;0
1995;50­54;0;0
1995;55­59;3;1
1995;60­64;3;0
1995;65­69;2;3
1995;70­74;6;3
1995;75­79;8;5
1995;80­84;11;7
1995;85+;8;11
1994;0­4;0;0
1994;5­9;0;0
1994;10­14;0;0
1994;15­19;0;0
1994;20­24;0;0
1994;25­29;0;0
1994;30­34;1;0
1994;35­39;0;0
1994;40­44;0;0
1994;45­49;0;1
1994;50­54;1;0
1994;55­59;1;0
1994;60­64;4;2
1994;65­69;2;2
1994;70­74;11;0
1994;75­79;7;6
1994;80­84;13;6
1994;85+;9;10
1993;0­4;0;0
1993;5­9;0;0
1993;10­14;0;0
1993;15­19;0;0
1993;20­24;0;0
1993;25­29;0;1
1993;30­34;1;0
1993;35­39;0;0
1993;40­44;0;2
1993;45­49;1;0
1993;50­54;0;0
1993;55­59;0;0
1993;60­64;6;0
1993;65­69;4;0
1993;70­74;7;3
1993;75­79;15;7
1993;80­84;14;8
1993;85+;6;7
1992;0­4;0;0
1992;5­9;0;0
1992;10­14;0;0
1992;15­19;0;1
1992;20­24;0;0
1992;25­29;0;0
1992;30­34;0;0
1992;35­39;0;0
1992;40­44;0;0
1992;45­49;0;2
1992;50­54;1;1
1992;55­59;1;0
1992;60­64;6;1
1992;65­69;8;0
1992;70­74;12;3
1992;75­79;7;7
1992;80­84;10;3
1992;85+;7;6
1991;0­4;0;0
1991;5­9;0;0
1991;10­14;0;0
1991;15­19;0;0
1991;20­24;0;0
1991;25­29;0;0
1991;30­34;0;0
1991;35­39;0;0
1991;40­44;0;0
1991;45­49;0;0
1991;50­54;0;0
1991;55­59;0;0
1991;60­64;7;0
1991;65­69;4;1
1991;70­74;6;5
1991;75­79;7;4
1991;80­84;8;1
1991;85+;10;8
1990;0­4;0;0
1990;5­9;0;0
1990;10­14;0;0
1990;15­19;0;0
1990;20­24;0;0
1990;25­29;0;0
1990;30­34;0;1
1990;35­39;0;1
1990;40­44;0;0
1990;45­49;1;0
1990;50­54;0;0
1990;55­59;1;0
1990;60­64;2;1
1990;65­69;9;1
1990;70­74;8;2
1990;75­79;9;2
1990;80­84;8;1
1990;85+;5;4
1989;0­4;0;0
1989;5­9;0;0
1989;10­14;0;0
1989;15­19;0;0
1989;20­24;0;0
1989;25­29;0;0
1989;30­34;0;0
1989;35­39;1;0
1989;40­44;1;0
1989;45­49;0;0
1989;50­54;1;0
1989;55­59;1;0
1989;60­64;1;2
1989;65­69;6;2
1989;70­74;7;2
1989;75­79;9;7
1989;80­84;5;3
1989;85+;7;12
1988;0­4;0;0
1988;5­9;0;0
1988;10­14;0;0
1988;15­19;0;0
1988;20­24;0;0
1988;25­29;0;0
1988;30­34;0;0
1988;35­39;0;0
1988;40­44;0;0
1988;45­49;0;1
1988;50­54;1;0
1988;55­59;1;0
1988;60­64;2;0
1988;65­69;3;4
1988;70­74;4;2
1988;75­79;10;3
1988;80­84;6;6
1988;85+;8;7
1987;0­4;0;0
1987;5­9;0;0
1987;10­14;0;0
1987;15­19;0;0
1987;20­24;0;0
1987;25­29;0;0
1987;30­34;0;0
1987;35­39;0;0
1987;40­44;1;2
1987;45­49;2;0
1987;50­54;0;0
1987;55­59;1;1
1987;60­64;3;1
1987;65­69;4;1
1987;70­74;2;3
1987;75­79;6;6
1987;80­84;8;3
1987;85+;5;7
1986;0­4;0;0
1986;5­9;0;0
1986;10­14;0;0
1986;15­19;0;0
1986;20­24;0;0
1986;25­29;0;0
1986;30­34;1;0
1986;35­39;0;0
1986;40­44;0;0
1986;45­49;0;0
1986;50­54;0;1
1986;55­59;1;0
1986;60­64;1;0
1986;65­69;6;2
1986;70­74;1;0
1986;75­79;5;3
1986;80­84;6;3
1986;85+;5;3
1985;0­4;0;0
1985;5­9;0;0
1985;10­14;0;0
1985;15­19;0;0
1985;20­24;0;0
1985;25­29;1;0
1985;30­34;1;0
1985;35­39;0;1
1985;40­44;0;0
1985;45­49;1;0
1985;50­54;0;1
1985;55­59;1;0
1985;60­64;2;2
1985;65­69;2;1
1985;70­74;4;1
1985;75­79;11;2
1985;80­84;8;7
1985;85+;9;3
1984;0­4;0;0
1984;5­9;0;0
1984;10­14;0;0
1984;15­19;0;0
1984;20­24;0;0
1984;25­29;0;0
1984;30­34;0;0
1984;35­39;1;0
1984;40­44;0;0
1984;45­49;0;0
1984;50­54;0;1
1984;55­59;0;0
1984;60­64;2;0
1984;65­69;4;1
1984;70­74;3;1
1984;75­79;8;5
1984;80­84;6;2
1984;85+;3;9
1983;0­4;0;0
1983;5­9;0;0
1983;10­14;0;0
1983;15­19;0;0
1983;20­24;0;0
1983;25­29;0;0
1983;30­34;0;0
1983;35­39;0;0
1983;40­44;0;0
1983;45­49;0;0
1983;50­54;2;1
1983;55­59;0;0
1983;60­64;1;0
1983;65­69;4;1
1983;70­74;7;5
1983;75­79;9;2
1983;80­84;3;1
1983;85+;7;4
1982;0­4;0;0
1982;5­9;0;0
1982;10­14;0;0
1982;15­19;0;0
1982;20­24;0;0
1982;25­29;0;0
1982;30­34;0;0
1982;35­39;0;0
1982;40­44;0;0
1982;45­49;0;0
1982;50­54;0;0
1982;55­59;0;0
1982;60­64;1;1
1982;65­69;2;0
1982;70­74;5;0
1982;75­79;9;2
1982;80­84;5;2
1982;85+;0;2
1981;0­4;0;0
1981;5­9;0;0
1981;10­14;0;0
1981;15­19;0;0
1981;20­24;0;0
1981;25­29;0;0
1981;30­34;0;0
1981;35­39;0;1
1981;40­44;0;0
1981;45­49;0;0
1981;50­54;0;0
1981;55­59;0;0
1981;60­64;4;1
1981;65­69;5;2
1981;70­74;7;0
1981;75­79;3;5
1981;80­84;2;3
1981;85+;4;4
1980;0­4;0;0
1980;5­9;0;0
1980;10­14;0;0
1980;15­19;0;0
1980;20­24;0;0
1980;25­29;0;0
1980;30­34;0;0
1980;35­39;0;0
1980;40­44;0;0
1980;45­49;0;0
1980;50­54;1;0
1980;55­59;1;1
1980;60­64;0;0
1980;65­69;4;0
1980;70­74;4;0
1980;75­79;6;2
1980;80­84;4;1
1980;85+;6;2
1979;0­4;0;0
1979;5­9;0;0
1979;10­14;0;0
1979;15­19;0;0
1979;20­24;0;0
1979;25­29;0;0
1979;30­34;0;0
1979;35­39;0;0
1979;40­44;0;0
1979;45­49;0;0
1979;50­54;0;0
1979;55­59;0;0
1979;60­64;2;0
1979;65­69;2;4
1979;70­74;4;0
1979;75­79;5;1
1979;80­84;0;0
1979;85+;1;5
1978;0­4;0;0
1978;5­9;0;0
1978;10­14;0;0
1978;15­19;0;0
1978;20­24;0;0
1978;25­29;0;0
1978;30­34;0;0
1978;35­39;0;0
1978;40­44;0;0
1978;45­49;0;0
1978;50­54;0;0
1978;55­59;2;1
1978;60­64;2;1
1978;65­69;2;3
1978;70­74;5;1
1978;75­79;3;1
1978;80­84;4;3
1978;85+;1;2
1977;0­4;0;0
1977;5­9;0;0
1977;10­14;0;0
1977;15­19;0;0
1977;20­24;0;0
1977;25­29;0;0
1977;30­34;0;0
1977;35­39;0;0
1977;40­44;0;0
1977;45­49;0;1
1977;50­54;0;0
1977;55­59;1;0
1977;60­64;1;0
1977;65­69;2;1
1977;70­74;3;0
1977;75­79;3;2
1977;80­84;2;0
1977;85+;3;2
1976;0­4;0;0
1976;5­9;0;0
1976;10­14;0;0
1976;15­19;0;0
1976;20­24;0;0
1976;25­29;0;0
1976;30­34;0;0
1976;35­39;0;0
1976;40­44;0;1
1976;45­49;0;0
1976;50­54;1;0
1976;55­59;0;1
1976;60­64;2;0
1976;65­69;1;0
1976;70­74;8;0
1976;75­79;4;0
1976;80­84;3;1
1976;85+;5;5
1975;0­4;0;0
1975;5­9;0;0
1975;10­14;0;0
1975;15­19;0;0
1975;20­24;0;0
1975;25­29;0;0
1975;30­34;0;0
1975;35­39;0;0
1975;40­44;0;0
1975;45­49;0;0
1975;50­54;2;0
1975;55­59;0;0
1975;60­64;0;0
1975;65­69;5;0
1975;70­74;4;1
1975;75­79;2;0
1975;80­84;3;2
1975;85+;4;0
1974;0­4;0;0
1974;5­9;0;0
1974;10­14;0;0
1974;15­19;0;0
1974;20­24;0;0
1974;25­29;0;0
1974;30­34;0;0
1974;35­39;1;0
1974;40­44;0;0
1974;45­49;0;0
1974;50­54;1;0
1974;55­59;0;0
1974;60­64;0;1
1974;65­69;3;0
1974;70­74;3;0
1974;75­79;7;3
1974;80­84;1;1
1974;85+;6;1
1973;0­4;0;0
1973;5­9;0;0
1973;10­14;0;0
1973;15­19;0;0
1973;20­24;0;0
1973;25­29;0;0
1973;30­34;0;0
1973;35­39;0;0
1973;40­44;0;0
1973;45­49;0;0
1973;50­54;1;0
1973;55­59;1;0
1973;60­64;1;0
1973;65­69;1;0
1973;70­74;2;1
1973;75­79;2;2
1973;80­84;1;1
1973;85+;3;2
1972;0­4;0;0
1972;5­9;0;0
1972;10­14;0;0
1972;15­19;0;0
1972;20­24;0;0
1972;25­29;0;0
1972;30­34;0;0
1972;35­39;0;0
1972;40­44;1;0
1972;45­49;0;0
1972;50­54;1;0
1972;55­59;0;0
1972;60­64;0;1
1972;65­69;3;0
1972;70­74;2;0
1972;75­79;1;3
1972;80­84;3;1
1972;85+;3;2
1971;0­4;0;0
1971;5­9;0;0
1971;10­14;0;0
1971;15­19;0;0
1971;20­24;0;0
1971;25­29;0;0
1971;30­34;0;0
1971;35­39;0;0
1971;40­44;0;0
1971;45­49;1;0
1971;50­54;0;0
1971;55­59;3;0
1971;60­64;3;1
1971;65­69;0;0
1971;70­74;0;2
1971;75­79;3;1
1971;80­84;3;1
1971;85+;3;1
1970;0­4;0;0
1970;5­9;0;0
1970;10­14;0;0
1970;15­19;0;0
1970;20­24;0;0
1970;25­29;0;0
1970;30­34;0;0
1970;35­39;0;0
1970;40­44;0;0
1970;45­49;0;0
1970;50­54;0;0
1970;55­59;0;0
1970;60­64;1;0
1970;65­69;0;0
1970;70­74;3;0
1970;75­79;2;3
1970;80­84;5;0
1970;85+;2;2